Date,Temperature Max,Hours Open,Public Holiday,School Holiday,Day of the Week,Day of the Year,Crowd Size,Crowd Level
1/01/2021,11,9,1,1,5,1,,
2/01/2021,11,14,1,1,6,2,,
3/01/2021,8,14,1,1,7,3,,
4/01/2021,11,14,0,1,1,4,,
5/01/2021,10,14,0,1,2,5,,
6/01/2021,7,14,0,1,3,6,,
7/01/2021,13,14,0,1,4,7,,
8/01/2021,7,14,0,0,5,8,,
9/01/2021,8,14,0,0,6,9,,
10/01/2021,8,14,0,0,7,10,,
11/01/2021,7,14,0,0,1,11,,
12/01/2021,6,13,0,0,2,12,,
13/01/2021,13,13,0,0,3,13,,
14/01/2021,15,13,1,0,4,14,,
15/01/2021,9,13,0,0,5,15,,
16/01/2021,19,13,0,0,6,16,,
17/01/2021,8,14,0,0,7,17,,
18/01/2021,9,14,0,0,1,18,,
19/01/2021,10,14,0,0,2,19,,
20/01/2021,10,13,0,0,3,20,,
21/01/2021,11,13,0,0,4,21,,
22/01/2021,16,13,0,0,5,22,,
23/01/2021,11,13,0,0,6,23,,
24/01/2021,7,13,0,0,7,24,,
25/01/2021,13,14,0,0,1,25,,
26/01/2021,11,14,0,0,2,26,,
27/01/2021,16,13,0,0,3,27,,
28/01/2021,10,13,0,0,4,28,,
29/01/2021,11,13,0,0,5,29,,
30/01/2021,9,13,0,0,6,30,,
31/01/2021,12,14,0,0,7,31,,
1/02/2021,12,14,0,0,1,32,,
2/02/2021,16,13,0,0,2,33,,
3/02/2021,12,13,0,0,3,34,,
4/02/2021,13,13,0,0,4,35,,
5/02/2021,12,13,0,0,5,36,,
6/02/2021,15,13,0,0,6,37,,
7/02/2021,16,14,0,0,7,38,,
8/02/2021,11,14,0,0,1,39,,
9/02/2021,10,13,0,0,2,40,,
10/02/2021,12,13,0,0,3,41,,
11/02/2021,14,13,1,0,4,42,,
12/02/2021,12,13,0,0,5,43,,
13/02/2021,16,14,0,0,6,44,,
14/02/2021,18,14,0,0,7,45,,
15/02/2021,14,14,0,0,1,46,,
16/02/2021,16,14,0,0,2,47,,
17/02/2021,13,14,0,0,3,48,,
18/02/2021,10,13,0,0,4,49,,
19/02/2021,12,13,0,0,5,50,,
20/02/2021,17,14,0,0,6,51,,
21/02/2021,19,14,0,0,7,52,,
22/02/2021,22,14,0,0,1,53,,
23/02/2021,16,13,0,0,2,54,,
24/02/2021,12,13,0,0,3,55,,
25/02/2021,11,13,0,0,4,56,,
26/02/2021,9,13,0,0,5,57,,
27/02/2021,10,14,0,0,6,58,,
28/02/2021,11,14,0,0,7,59,,
1/03/2021,15,14,0,0,1,60,,
2/03/2021,13,14,0,0,2,61,,
3/03/2021,12,13,0,0,3,62,,
4/03/2021,12,13,0,0,4,63,,
5/03/2021,13,13,0,0,5,64,,
6/03/2021,15,14,0,0,6,65,,
7/03/2021,14,14,0,0,7,66,,
8/03/2021,15,14,0,0,1,67,,
9/03/2021,15,13,0,0,2,68,,
10/03/2021,10,13,0,0,3,69,,
11/03/2021,12,13,0,0,4,70,,
12/03/2021,13,14,0,0,5,71,,
13/03/2021,13,13,0,0,6,72,,
14/03/2021,11,14,0,0,7,73,,
15/03/2021,11,14,0,0,1,74,,
16/03/2021,11,13,0,0,2,75,,
17/03/2021,11,13,0,0,3,76,,
18/03/2021,16,13,0,0,4,77,,
19/03/2021,16,14,0,0,5,78,,
20/03/2021,17,14,0,0,6,79,,
21/03/2021,14,14,1,0,7,80,,
22/03/2021,13,0,0,0,1,81,,
23/03/2021,13,13,0,0,2,82,,
24/03/2021,13,13,0,0,3,83,,
25/03/2021,15,13,0,0,4,84,,
26/03/2021,18,13,0,0,5,85,,
27/03/2021,19,13,0,1,6,86,,
28/03/2021,18,14,0,1,7,87,,
29/03/2021,19,14,0,1,1,88,,
30/03/2021,15,13,0,1,2,89,,
31/03/2021,16,13,0,1,3,90,,
1/04/2021,15,13,0,1,4,91,,
2/04/2021,16,13,0,1,5,92,,
3/04/2021,15,14,0,1,6,93,,
4/04/2021,15,14,0,1,7,94,,
5/04/2021,16,14,0,1,1,95,,
6/04/2021,17,13,0,1,2,96,,
7/04/2021,18,13,0,1,3,97,,
8/04/2021,20,13,0,1,4,98,,
9/04/2021,21,13,0,1,5,99,,
10/04/2021,18,14,0,1,6,100,,
11/04/2021,20,14,0,1,7,101,,
12/04/2021,19,14,0,1,1,102,,
13/04/2021,17,13,0,0,2,103,,
14/04/2021,17,13,0,0,3,104,,
15/04/2021,18,13,0,0,4,105,,
16/04/2021,18,13,0,0,5,106,,
17/04/2021,19,14,0,0,6,107,,
18/04/2021,20,14,0,0,7,108,,
19/04/2021,19,14,0,0,1,109,,
20/04/2021,18,13,0,0,2,110,,
21/04/2021,19,13,0,0,3,111,,
22/04/2021,20,13,0,0,4,112,,
23/04/2021,21,13,0,0,5,113,,
24/04/2021,20,13,0,0,6,114,,
25/04/2021,19,14,0,0,7,115,,
26/04/2021,19,14,0,0,1,116,,
27/04/2021,19,13,0,0,2,117,,
28/04/2021,20,13,0,0,3,118,,
29/04/2021,21,13,1,0,4,119,,
30/04/2021,20,13,1,0,5,120,,
1/05/2021,21,13,1,0,6,121,,
2/05/2021,21,14,1,0,7,122,,
3/05/2021,20,14,1,0,1,123,,
4/05/2021,21,14,1,0,2,124,,
5/05/2021,22,14,1,0,3,125,,
